"序号","UID","获奖等级","头像","主站等级","昵称","签名","是否大会员","关注数","粉丝数","观看量","收藏视频数","注册时间"
1,12037,"一等奖","http://i1.hdslb.com/bfs/face/5d2c92beb774a4bb30762538bb102d23670ae9c0.gif",5,"Ts","",1,88,3,0,75,"2010-02-14"
2,22441,"一等奖","http://i2.hdslb.com/bfs/face/0f726e55b4341e333479a7f1ada4462f0e1298fd.jpg",5,"游泳池水怪","本格の留学中",1,85,2,3362,144,"2010-03-25"
3,23455,"一等奖","http://i1.hdslb.com/bfs/face/c3ef04ba6c267c41067cd7708b7abd60c0c5c49f.jpg",5,"黯天","",1,43,3,0,69,"2010-03-30"
4,27298,"一等奖","http://i1.hdslb.com/bfs/face/3b4e2811a76a6730e1c3cea6f19806620f3e88d5.jpg",5,"那波","",0,68,1,0,1145,"2010-04-27"
5,27888,"一等奖","http://i1.hdslb.com/bfs/face/c417a6c1f7e77040a297d30affedc3d2bce0e3d9.jpg",4,"niaoge","ゲイ想珍毛镜",0,20,3,0,111,"2010-05-01"
6,42691,"一等奖","http://i0.hdslb.com/bfs/face/55d998c98d4604e908fc037b73b77108f740f4b9.jpg",4,"水冷轨迹","",1,79,1,49,112,"2010-06-20"
7,71230,"一等奖","http://i2.hdslb.com/bfs/face/ced2b84caf9a08cd564ceed99c41bde1f22aaa17.gif",5,"大丈夫萌大艿","",1,72,2,1493,329,"2010-12-22"
8,105881,"一等奖","http://i2.hdslb.com/bfs/face/a809a3b8407840ae00032360108261fcf503d38a.jpg",5,"窗棂儿","",1,77,0,0,55,"2011-02-03"
9,108568,"一等奖","http://i0.hdslb.com/bfs/face/5f10bd8817e9efde87f0caa93f9370c582fc46a6.jpg",5,"小FOX","",1,361,0,0,134,"2011-02-03"
10,116423,"一等奖","http://i0.hdslb.com/bfs/face/42b456f9657e0ce4d1d9826a4c36f1b65cb36d37.jpg",5,"飘零笛语","无药可治的侧马尾控",1,187,140,334215,879,"2011-04-02"
